region_id	score	n_infected	n_control	fraction_infected
C01_0	1.2359473190091543	173	40	0.812206572769953
C01_5	0.9442948308058496	83	30	0.7345132743362832
C01_7	1.3684398076014206	45	17	0.7258064516129032
C01_1	1.1402964686129504	77	27	0.7403846153846154
C01_6	1.124177820150457	52	34	0.6046511627906976
C01_3	1.2867098523927762	69	13	0.8414634146341463
C01_2	0.9405238843180502	38	9	0.8085106382978723
C01_4	1.1363326497819817	62	22	0.7380952380952381
C01_8	1.1351502513418128	40	20	0.6666666666666666
C02_0	1.186037804839576	205	39	0.8401639344262295
C02_2	1.0893223765618618	186	55	0.7717842323651453
C02_1	1.0851282083320102	214	59	0.7838827838827839
C02_3	1.170380579986979	129	34	0.7914110429447853
C02_4	1.2924989841636014	239	55	0.8129251700680272
C02_5	1.036029041596359	229	36	0.8641509433962264
C02_6	1.1757283022782807	209	64	0.7655677655677655
C02_7	1.180395522733984	242	96	0.7159763313609467
C02_8	1.0980577143104973	34	16	0.68
C03_0	1.2297199603281557	282	63	0.8173913043478261
C03_1	1.105393898065382	221	37	0.8565891472868217
C03_2	1.0823772587610925	252	44	0.8513513513513513
C03_3	1.3643422915075285	278	26	0.9144736842105264
C03_4	1.1700887904685835	252	56	0.8181818181818182
C03_5	1.2180410944936428	326	58	0.8489583333333334
C03_6	1.0782761708063788	291	57	0.8362068965517241
C03_8	1.0864696365257551	344	50	0.8730964467005076
C03_7	1.2758296296948537	249	33	0.8829787234042553
